ICIS_FACILITY_INTEREST_ID,NPDES_ID,FACILITY_UIN,FACILITY_TYPE_CODE,FACILITY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_ADDRESS_TEXT,CITY,COUNTY_CODE,STATE_CODE,ZIP,GEOCODE_LATITUDE,GEOCODE_LONGITUDE,IMPAIRED_WATERS
600016249,HIS000099,110030481903.0,,KILAUEA MILITARY CAMP,CRATER RIM DRIVE,,VOLCANO,HI001,HI,86718-0216,19.42902,-155.25685,
2600041932,LAR10H471,110044890552.0,,LA DOTD,LA 517,,BIENVILLE PARISH,LA013,LA,70000,,,
3400097766,MORA05415,110060368864.0,POF,HIDDEN CREEK FARM,4618 HWY M,,MILLER,MO109,MO,65707,37.216067,-93.727499,
3400097718,TXG921351,110060369168.0,,STANFORD RANCH,297 CR 112,,VERHALEN,TX389,TX,79772,31.1765,-103.53383,
3601462097,MAR05J06J,110071296418.0,,AMAZON.COM SERVICES LLC - ORH5,515 DOUGLAS STREET,,UXBRIDGE,,MA,01569,42.069646,-71.664218,
3601646290,ILR10ZDWS,110071671281.0,,CRYSTAL LAKE DENTAL AND STARBUCKS,1341 RANDALL ROAD,,CRYSTAL LAKE,,IL,60014,42.2041,-88.3356,303(D) Listed
3600789858,PAC330008,110070133124.0,NON,"COTTAGE REAL ESTATE, LLC - BROOKVILLE SITE SURVEY ",230 ALLEGHENY BOULEVARD,,"BROOKVILLE, BOROUGH OF",PA065,PA,15825,41.169167,-79.093333,303(D) Listed
600010880,MTB006307,110028112824.0,POF,DR. RICHARD & CAROL VANDE VEEGAETE 318 PERMIT,PRIVATE RESIDENCE AREA,,RED LODGE,MT009,MT,59068,45.176306,-109.28425,303(D) Listed
3400048547,ALU001402,110056122379.0,,SOUTHERN SCAPES - SAVANNAH PL,ABERCORN DRIVE,,MILLBROOK,AL051,AL,36054,32.5198,-86.3869,303(D) Listed
3400048544,ALG890133,110046291749.0,,TYSON BORROW PIT,111 LAMB ROAD,,SALEM,AL081,AL,36874,32.459167,-85.275833,
3601032205,PAC020352,110070519914.0,NON,DAY SUBARU APOLLO, BRODHEAD ROAD AND GRANT DRIVE,,"MOON, TOWNSHIP OF",PA003,PA,15108,40.521389,-80.223056,303(D) Listed
3600144118,MDR002191,110001440094.0,,FEDERAL CORRECTIONAL INSTITUTION CUMBERLAND,14601 BURBRIDGE ROAD,,CUMBERLAND,MD001,MD,21501,39.985278,-78.124056,
3601031857,TXRNEBE63,110070518148.0,COR,TC SIGNS,1225 CAPITAL DR STE 100,,CARROLLTON,,TX,75006,32.95429,-96.91971,
3400059760,UTR360525,110056358178.0,MXO,SPRING GLEN 4000 N ROADWAY RECONSTRUCTION,4000 N 1590 W,,HELPER,UT007,UT,84526,39.65477,-110.84587,
3356300,NY0260860,110009823619.0,POF,ALBANY ASU,1297 FEURA BUSH ROAD,,FEURA BUSH,NY001,NY,12067,42.582583,-73.873556,
2400017320,MOR240522,110006732205.0,POF,EOLIA FERTILIZER,23309 HIGHWAY 61,,EOLIA,MO163,MO,63344,39.2555,-91.030472,
3357382,NY0025984,110010583573.0,MWD,WATERTOWN (C) WPCP,700 WILLIAM T. FIELD DRIVE,,WATERTOWN,NY045,NY,13601,43.989639,-75.928639,303(D) Listed
3357384,NY0026034,110000762372.0,MWD,EAST GREENBUSH (T) WWTP,80 COLUMBIA TURNPIKE,,EAST GREENBUSH,NY083,NY,12144,42.626111,-73.741944,303(D) Listed
3400073280,MTR105442,110058280015.0,POF,SRI RIVER HOLDINGS - TASH RESTORATION PROJECT,2MI S ON MT 287,,TWIN BRIDGES,MT057,MT,59754,45.518113,-112.322875,
3601618875,UTRC08320,110071659349.0,,1606 LOWER COVE ROAD-LOT 60,1606 LOWER COVE ROAD,,PARK CITY,,UT,84098,40.777,-111.5229,303(D) Listed
3600049356,MORA06677,110018007468.0,POF,WW WOOD PRODUCTS INC,10182 OLD HWY 60,,DUDLEY,MO207,MO,63936-0785,36.794583,-90.0841669,
3200040538,ND0026344,110042253904.0,POF,SOUTH CENTRAL REGIONAL WATER DISTRICT - EMMONS CO,"T132 R79 SECT 3 SE, SE",,LINTON,ND029,ND,58552,46.27633,-100.54647,
3400019045,WYR320600,110055189567.0,,CORA PIT,(UNKNOWN ADDRESS),,(UNKNOWN CITY),WY035,WY,00000,42.94486,-109.9865,
3601193506,MONX00761,110070740789.0,POF,FEDERAL EXPRESS - ZWST,8462 DELPORT DRIVE,,ST. LOUIS,MO189,MO,63144,38.695196,-90.34095,
3601898881,ORR10J727,,,MT HOOD COMMUNITY COLLEGE AQUATICS CENTER,3545 NE 17TH ST,,GRESHAM,,OR,97030,45.51109,-122.398555,
2400060854,MO0106844,110009872209.0,MWD,ASHLAND WWTP,850 RICHARDSON DRIVE,,ASHLAND,MO019,MO,65010,38.7632506,-92.255365,303(D) Listed
3601898883,MAR1005R5,,,0 PUDDON ST.,0 PUDDON STREET,,UPTON,,MA,01568,42.1337,-71.6115,
2400019132,MO0106275,110009872423.0,MWD,MOKANE WWTF,NE OF 94 AND HIGHWAY C JUNCTION,,MOKANE,MO027,MO,65059,38.6764421,-91.866082,
3400018681,WYR320039,110055207985.0,STF,HOO DOO PIT,(UNKNOWN ADDRESS),,(UNKNOWN CITY),WY041,WY,00000,41.3530612,-110.409084,
3405491,MDG852892,110011132906.0,POF,WEIR JONES MINE,1.8 MI. W. OF LANCONING - AVILTON RDS (RTE 857),GARRETT COUNTY,LONACONING,MD001,MD,21639,39.574999,-79.008334,303(D) Listed
3405494,MDG859609,110008482061.0,POF,PEE WEE HILL MINE,1.3 MILES N.E. OF KITZMILLER,GARRETT COUNTY,KITZMILLER,MD023,MD,21538,39.485277,-79.128889,303(D) Listed
3405497,MDG859614,110013344112.0,POF,"BEECHWOOD MINE, SM-02-442","2.0 MILES OF LONACONING,MD",ALLEGHANY COUNTY,LONACONING,MD001,MD,21539,39.580555,-78.985,303(D) Listed
3405498,MDG911300,110022391927.0,,AMOCO SERVICE STATION #84751,UNKNOWN,,BALTIMORE,MD510,MD,00000,39.318149,-76.609613,303(D) Listed
3405501,MDG766587,110013739678.0,POF,VILLAGE SQUARE WEST APARTMENTS,12401 VILLAGE SQUARE,MONTGOMERY COUNTY,ROCKVILLE,MD031,MD,20852,39.058734,-77.109344,
7419667,HIF001100,110020730039.0,,KUPULAU HEIGHTS,3-1875 KAUMUALII HWY,,HILO,HI001,HI,96720,19.685151,-155.062646,303(D) Listed
7419668,HIF001101,110020732297.0,,HILOLANI SUBDIVISION,FORD ISLAND,,HILO,HI001,HI,00000,19.69019,-155.06291,303(D) Listed
3376463,IDU000087,110009725618.0,POF,HECKMAN RANCHES INC (FEEDLOT),"NORTH OF WHITE BIRD, ON WHITE BIRD CREEK",,WHITE BIRD,ID049,ID,83554,45.75966,-116.303351,
3376413,IL0020354,110018223750.0,MWD,"ANTIOCH STP, VILLAGE OF",796 HOLBEK DRIVE,,ANTIOCH,IL097,IL,60002,42.482222,-88.099167,
400000028,SD0020397,110028183481.0,MWD,SPENCER - TOWN OF,"3/4W OF TOWN, NE1/4,S13,T103N,","R57W, HANSON COUNTY",SPENCER,SD087,SD,573740009,43.730306,-97.608583,
1285810,PR0022616,110006622930.0,STF,PRASA ENRIQUE ORTEGA WTP,"ROAD 827, KM 5.6",PINAS WARD,TOA ALTA,PR135,PR,00953,18.363611,-66.23075,
1462019,WA0025658,110009764371.0,TRB,LUMMI INDIAN BUSINESS COUNCIL - SANDY POINT WWTP,4369 GERMAINE ROAD,,FERNDALE,WA073,WA,98248,48.814462,-122.706695,
1512935,WV0111082,110000344850.0,POF,WILLOW ISLAND PLANT,1 HEILMAN AVENUE,,WILLOW ISLAND,WV073,WV,26134-9732,39.354694,-81.300306,
3405502,MDG766414,110019899458.0,POF,RICHMAR APARTMENTS,13 RICHMAR COURT,BALTIMORE COUNTY,OWINGS MILLS,MD005,MD,21117,39.435264,-76.797782,303(D) Listed
3376042,IL0031356,110000880459.0,MWD,CHRISTIAN COUNTY WRD STP,1058 LANGLEYVILLE ROAD,,TAYLORVILLE,IL021,IL,62568,39.556389,-89.333611,303(D) Listed
3376051,IL0031721,110009987657.0,MWD,WBSD WASTEWATER TREATMENT PLANT,RURAL ROUTE 4,,BELGIUM,IL183,IL,61883,40.061667,-87.628333,
3376055,IL0031852,110018232438.0,MWD,"WOOD RIVER, CITY OF",559 STATE AID ROAD,,WOOD RIVER,IL119,IL,62095,38.851667,-90.100556,303(D) Listed
3384283,MI0003450,110000404839.0,POF,DUNN PAPER INC,218 RIVERVIEW STREET,,PORT HURON,MI147,MI,48060,43.0032541,-82.422644,303(D) Listed
3405235,MDG917985,110011131015.0,POF,FORMER EXXON RAS# 2-6801,UNKNOWN,,UNKNOWN,MD005,MD,00000,,,
3405236,MDG918134,110001776864.0,POF,SHELL STATION,724 NURSERY ROAD,ANNE ARUNDEL COUNTY,LINTHICUM,MD003,MD,21090,39.224354,-76.659287,303(D) Listed
3405244,MDL020001,110000761774.0,MWD,CRISFIELD WWTP,7TH STREET,SOMERSET COUNTY,CRISFIELD,MD039,MD,21817,37.970402,-75.857988,
3405247,MDL020656,110008488145.0,MWD,PRINCESS ANNE WWTP,P.O. BOX 326,SOMERSET COUNTY,PRINCESS ANNE,MD039,MD,21853,38.196789,-75.696593,
3406533,MA0027006,110011136724.0,POF,CAMP PEMBROKE,306 OLDHAM ST,,PEMBROKE,MA023,MA,02359,42.075392,-70.832088,303(D) Listed
3406538,MA0027871,110006744853.0,POF,THE MAPLES,48 OLD NORTH ROAD,,WORTHINGTON,MA015,MA,01098,72.941667,-42.416667,
3357505,NY0021831,110012643611.0,MWD,ROUSES POINT (V) WWTP,LILY AVENUE EXTENSION,,ROUSES POINT,NY019,NY,12979,44.999583,-73.352444,303(D) Listed
3357508,NY0021873,110002345178.0,MWD,MEDINA (V) WWTP,200 GULF STREET,,MEDINA,NY073,NY,14103,43.231944,-78.390556,303(D) Listed
6712527,MDG914144,110019856958.0,POF,BP SERVICE STATION # 03033,14243 JARRETTSVILLE PIKE,BALTIMORE COUNTY,PHOENIX,MD005,MD,21131,39.517613,-76.559425,303(D) Listed
6712528,MDG914568,110017882932.0,POF,WISE - MART II,806 SOUTH MAIN STREET,WICOMICO COUNTY,SHARPTOWN,MD045,MD,21861,38.534147,-75.715949,303(D) Listed
6712530,MDG915027,110017855114.0,POF,PINEY ORCHARD BP,8749 PINEY ORCHARD PARKWAY,ANNE ARUNDEL COUNTY,ODENTON,MD003,MD,21113,39.06633,-76.720379,303(D) Listed
6712531,MDG915979,110019861345.0,,BP/ AMOCO STATION # 00880,4419 PARK HEIGHTS AVENUE,BALTIMORE CITY,BALTIMORE,MD510,MD,21215,39.340493,-76.667108,303(D) Listed
6712532,MDG916723,110001837950.0,,FORMER SHELL STATION,15541 NEW HAMPSHIRE AVENUE,MONTGOMERY COUNTY,SILVER SPRING,MD031,MD,20904,39.111801,-76.995016,303(D) Listed
6712536,MDG916926,110003525837.0,POF,BP/ AMOCO STATION # 00027,500 EAST 33RD STREET,BALTIMORE CITY,BALTIMORE,MD510,MD,21218,39.32849,-76.60943,303(D) Listed
6712538,MDG916945,110019868963.0,POF,BP/ AMOCO STATION # 00472,910 WEST STREET,ANNE ARUNDEL COUNTY,ANNAPOLIS,MD003,MD,21401,38.976531,-76.5081,303(D) Listed
3361524,NE0033421,110000555024.0,MWD,NORFOLK WASTEWATER TREATMENT FACILITY,610 E MONROE AVENUE,,NORFOLK,NE119,NE,68701,42.00715,-97.39749,
3361533,NE0036358,110000549782.0,MWD,OMAHA MISSOURI RIVER WWTF,5600 S 10TH STREET,,OMAHA,NE055,NE,68107,41.20753,-95.92978,303(D) Listed
3361578,NE0041351,110064243457.0,CTG,EMERSON WASTEWATER TREATMENT,511 N. MAIN,,EMERSON,NE051,NE,68733,42.269722,-96.727222,
3342389,PAP126174,110025330979.0,POF,SPECIALTY FABRICATION & POWDER COATING,455 ALLEGHENY BOULEVARD,,FRANKLIN,PA121,PA,16323,41.401169,-79.812833,
3342405,PAP143681,110000959801.0,POF,INGERSOLL-RAND PRODUCTION EQUI,101 NORTH MAIN STREET,,ATHENS,PA015,PA,18810,41.958407,-76.526055,303(D) Listed
3342407,PAP170424,110009162315.0,POF,TIMET - TITANIUM METALS CORPORATION,900 HEMLOCK ROAD,,MORGANTOWN,PA011,PA,19543,40.14737,-75.85707,303(D) Listed
3342408,PAP180748,110009158295.0,POF,"TE CONNECTIVITY CORPORATION, JONEST (FORMERLY TYCO ELECTRONICS CORP.)",3155 STATE ROUTE 72,,JONESTOWN,PA075,PA,17038-8741,40.45854,-76.51256,303(D) Listed
3347208,ORU000339,110004814309.0,POF,PORTLAND MEADOWS RACE TRACK,1001 NORTH SCHMEER ROAD,,PORTLAND,OR051,OR,97217,45.58951,-122.67699,303(D) Listed
3348346,OKU000216,110011010967.0,POF,ROCKY BS RANCH,8644 EAST 127TH,,WETUMKA,OK063,OK,74883,35.1496,-96.048682,
3358384,NM0000043,110001547675.0,CTG,"FARMINGTON, CITY OF",501 MCCORMICK SCHOOL RD,,FARMINGTON,NM045,NM,87401,36.725583,-108.190583,
3404044,ARL021792,110064643293.0,MWD,"BERRYVILLE, CITY OF",P. O. BOX 227,,BERRYVILLE,AR015,AR,72616,36.357222,-93.578889,
3404050,ARL022250,110055976467.0,MWD,"DERMOTT, CITY OF (SOUTH POND)",1.2 MI. E. HWY 165,SEC-6 TWP-14S RNG-4W,DERMOTT,AR017,AR,71638,33.520556,-91.409444,
3404054,ARL022578,110064643346.0,MWD,"BLYTHEVILLE, CITY OF-SOUTH WWP",121 N 2ND ST,,BLYTHEVILLE,AR093,AR,72315,35.897222,-89.936667,
3404055,ARL033316,110000736197.0,MWD,PINE BLUFF WW UTILITY-BOYD PT,900 ISLAND HABOR ROAD,SEC-22 TWP-5S RNG-9W,PINE BLUFF,AR069,AR,71602,34.275,-91.966389,
3405346,MDG913239,110011132381.0,,DARLINGTON VOLUNTEER FIRE CO.,UNKNOWN,,,MD025,MD,00000,39.647255,-76.203468,
3405347,MDG913245,110000614050.0,,GENERAL ELECTRIC CO.,UNKNOWN,,,MD027,MD,00000,39.185718,-76.817547,303(D) Listed
3405348,MDG913256,110011132425.0,POF,RANDALL AND FRANCES WILLIAMS,4308 BUCKEYSTOWN PIKE,FREDERICK COUNTY,FREDERICK,MD021,MD,21704-7580,39.350189,-77.425283,
3405353,MDG913452,110001768285.0,,SACRED HEART HOSPITAL,UNKNOWN,,,MD001,MD,00000,39.654403,-78.79734,303(D) Listed
3405354,MDG914106,110001834793.0,POF,EASTERN PETROLUEM CORPORATION,33 HUDSON STREET,,ANNAPOLIS,MD003,MD,21401,38.984918,-76.53252,303(D) Listed
3405355,MDG914148,110009024064.0,POF,AERO ENERGY,1751 PULASKI HIGHWAY,HARFORD COUNTY,HAVRE DE GRACE,MD025,MD,21078,39.532222,-76.123611,303(D) Listed
3357280,NY0030864,110010637668.0,MWD,ROME MUNICIPAL STP,7180 EAST DOMINICK STREET,,ROME,NY065,NY,13440,43.202028,-75.411528,
3357282,NY0030899,110009692467.0,MWD,COMBINED SEWER OVERFLOWS,2 FIFTEENTH ST,,WATERVLIET,NY001,NY,12189,42.707361,-73.704778,303(D) Listed
3357287,NY0031151,110000735107.0,MWD,ONEONTA (C) WWTP,11 SILAS LANE,,ONEONTA,NY077,NY,13820,42.438833,-75.102028,
3404692,MEU250368,110039677908.0,POF,ROGERS FARM,RR#2 ROGERS ROAD,,CLINTON,ME011,ME,04927,44.67863,-69.5162,
3404599,MI0000761,110000700796.0,POF,FLINT INK-CDR-HOLLAND,471 HOWARD AVE,,HOLLAND,MI139,MI,49424,42.795278,-86.129444,303(D) Listed
3406462,MA0100382,110000732592.0,MWD,FALL RIVER W W T P,1979 BAY STREET,,FALL RIVER,MA005,MA,02724,41.6762056,-71.1934887,303(D) Listed
3406463,MA0100404,110024352537.0,MWD,MWRA-CLINTON S T P,677 HIGH STREET,,CLINTON,MA027,MA,01510,42.431111,-71.680556,303(D) Listed
3401188,CT0000299,110000523327.0,POF,UNILEVER HOME & PERSONAL CARE,JOHN STREET,,CLINTON,CT007,CT,06413,41.270611,-72.522806,303(D) Listed
3401190,CT0000582,110000315588.0,POF,HAMILTON STANDARD DIV,ONE HAMILTON RD,,WINDSOR LOCKS,CT003,CT,060961010,41.925278,-72.688333,
3401192,CT0000744,110000316550.0,POF,CHROMIUM PROCESS CPMPANY,113 WEST CANAL STREET,,SHELTON,CT001,CT,06484,41.316944,-73.092222,
3401195,CT0000850,110017765809.0,POF,GIVAUDAN FLAVORS CORPORATION,63 BOARDMAN ROAD,,NEW MILFORD,CT005,CT,06776,41.586111,-73.440278,303(D) Listed
3424314,AKG376316,110012681570.0,POF,TOM HUNDLEY / DEADWOOD CREEK,UNKNOWN,CIRCLE MINING DISTRICT,UNKNOWN,,AK,00000,,,
3424315,AKG376317,110012681589.0,POF,TOM HUNDLEY / MARSHALL GLACIER RIVER,UNKNOWN,PRINCE WILLIAM SOUND MINING DISTRICT,UNKNOWN,,AK,00000,,,
3424876,AKG375560,110012757613.0,POF,DOUGLAS MARKS / CANYON CREEK,UNKNOWN,YENTNA MINING DISTRICT,UNKNOWN,AK020,AK,00000,,,
3424877,AKG375561,110012757622.0,POF,MARTIN MARSHALL / FORTYMILE AREA,UNKNOWN,FORTYMILE MINING DISTRICT,UNKNOWN,AK240,AK,00000,,,
3424878,AKG375563,110012757640.0,POF,MARVIN MATTSON / STEESE HIGHWAY LIST,UNKNOWN,FAIRBANKS/CIRCLE MINING DISTRICT,UNKNOWN,AK090,AK,00000,,,
3424879,AKG375564,110012757659.0,POF,MARVIN MATTSON / DEADWOOD CREEK,UNKNOWN,CIRCLE MINING DISTRICT,UNKNOWN,,AK,00000,,,
3424880,AKG375566,110012757677.0,POF,ROBERT MCALISTER / COOPER CREEK,UNKNOWN,HOPE MINING DISTRICT,UNKNOWN,,AK,00000,,,
5647058,IDR10A440,110014412536.0,POF,BLACK ROCK DEVELOPMENT INC,AT BLACK ROCK & ROCK BAY ROADS,BLACK ROCK SUBDIVISION,COEUR D'ALENE,ID055,ID,83814,47.513053,-116.871401,
5647059,IDU000106,110000607175.0,POF,J R SIMPLOT CO,HEYBURN/BURLEY FACILITY,HWY 30 NORTH (P.O. BOX 676),HEYBURN,ID067,ID,83336,42.550187,-113.760293,
3424589,AKG375849,110012814712.0,POF,DENNIS E SILER / JOHN CREEK,UNKNOWN,YENTNA MINING DISTRICT,UNKNOWN,AK170,AK,00000,,,
3424590,AKG375850,110012814721.0,POF,DENNIS E SILER / BIG BOULDER CREEK,UNKNOWN,YENTNA MINING DISTRICT,UNKNOWN,AK170,AK,00000,,,
7419680,HIF001113,110020731724.0,,FARRINGTON HIGHWAY,1941 POIPU RD,,WAIPAHU,HI003,HI,96797,21.2607,-157.70975,303(D) Listed
7419681,HIF001114,110020734179.0,,MAKENA ALANUI - ROAD WIDENING,WAIAKEA STREAM DOWNSTREAM,KAWAILANI ST BRIDGE,KIHEI,HI009,HI,00000,20.69968,-156.44332,303(D) Listed
7419682,HIF001115,110020734188.0,,WAIMANALO WELL III,2445 KAALA ST,,WAIMANALO,HI003,HI,00000,21.303742,-157.818899,
7419683,HIF001116,110020734197.0,,KAI MALU AT WAILEA,1298 KUKILA ST,,WAILEA,HI001,HI,00000,19.70266,-155.05946,303(D) Listed
6711696,IDR05A510,110041457278.0,POF,ESSENTIAL METALS CORPORATION,1098 BIG CREEK ROAD,SUNSHINE REFINERY,KELLOGG,ID079,ID,83837,47.518281,-116.06256,303(D) Listed
6711697,IDR05A541,110017860117.0,POF,STERLING MINING COMPANY,2209 BIG CREEK ROAD,"SUNSHINE MINING DIVISION, SUNSHINE MINE",KELLOGG,ID079,ID,83837,47.51975,-116.06046,303(D) Listed
6711698,IDR10A10I,110017759549.0,POF,HARRISON HEIGHTS LLC,"2/3 MI SE OF HARRISON, HWY 97",HARRISON HEIGHTS SUBDIVISION,HARRISON,ID055,ID,83833,47.438931,-116.767057,
6711699,IDR10AA02,110017860135.0,COR,HEARTLAND DEVELOPMENT LLC - FOREST GLEN SUBDIVISON #1,3576 SOUTH CLOVERDALE ROAD,,BOISE,ID001,ID,83709,43.569994,-116.33435,
6711700,IDR10AA38,110017859389.0,POF,MERIDIAN WEST STAKE CENTER,2515 WEST USTICK ROAD,,MERIDIAN,ID001,ID,83642,43.633262,-116.424468,303(D) Listed
6711701,IDR10AC30,110018925822.0,POF,D.W. INC,700 EAST USTICK ROAD,TIMBERFALLS SUBDIVISION # 1 & 2,MERIDIAN,ID001,ID,83642,43.63376,-116.385975,
6711702,IDR10AC87,110017859352.0,CTG,GARDEN CITY - CITY HALL,6015 GLENWOOD STREET,,GARDEN CITY,ID001,ID,83714,43.659634,-116.27974,303(D) Listed
6711703,IDU000115,110018925886.0,POF,LANDSING DEVELOPMENT GROUP LLC - SOUTHFORK DEVELOPMENT,5800 SOUTH COLE ROAD,SOUTHFORK DEVELOPMENT,BOISE,ID001,ID,83709,43.55399,-116.27417,
6711704,IDU000116,110017860180.0,COR,MATRIX CONSTRUCTION INC - SOUTHPARK DEVELOPMENT,CORNER OF CLOVERDALE & AMITY,,BOISE,ID001,ID,83709,43.561128,-116.334348,
3601195536,INRA05198,110070705193.0,POF,BLUE LAKE CLEAN FILL DISPOSAL SITE TRAILER PARK ANNEX,3023 W MORRIS ST,,INDIANAPOLIS,,IN,46241,39.74944,-86.21083,
3600858482,PA0092142,110070051016.0,COR,LEWISVILLE REC,564 SALTSBURG RD,,CLARKSBURG,,PA,15725-7425,40.527778,-79.295833,
3601591657,PA0270024,110071540870.0,COR,MAHER GFCC,1295 NORTH CAMP RD,,LA JOSE,,PA,15753,40.772361,-78.635556,
1549969,GMG290178,110063981295.0,,WESTPORT RESOURCES CORPORATION,"5555 SAN FELIPE, SUITE 2100",,HOUSTON,,TX,77056,29.75006,-95.47184,
989269,NM0027375,110011027343.0,POF,RIO DE ARENAS LLC,3 RIO DE ARENAS ROAD,"MHP, ARENAS VALLEY, GRANT CO.",SILVER CITY,NM017,NM,88061,32.773639,-108.191417,
1233425,PAL023701,110001107766.0,MWD,MIDLAND BORO MUN AUTH,TENTH ST AND RAILROAD AVE.,,MIDLAND,PA007,PA,15059,40.634419,-80.450271,303(D) Listed
